시도,지역구분,모델별 지방비 조회,보조금/승용(만원) (국비+지방비),보조금/초소형(만원) (국비+지방비)
서울,서울특별시,조회,800,340.0
부산,부산광역시,조회,950,400.0
대구,대구광역시,조회,950,400.0
인천,인천광역시,조회,950,437.0
광주,광주광역시,조회,1020,400.0
대전,대전광역시,조회,950,375.0
울산,울산광역시,조회,975,375.0
세종,세종특별자치시,조회,900,350.0
경기,수원시,조회,900,400.0
경기,성남시,조회,950,480.0
경기,의정부시,조회,890,407.0
경기,안양시,조회,950,365.0
경기,부천시,조회,900,346.0
경기,광명시,조회,1050,700.0
경기,평택시,조회,1050,403.0
경기,동두천시,조회,885,356.0
경기,안산시,조회,950,386.0
경기,고양시,조회,900,350.0
경기,과천시,조회,1000,384.0
경기,구리시,조회,1050,500.0
경기,남양주시,조회,900,406.0
경기,오산시,조회,1050,403.0
경기,시흥시,조회,950,437.0
경기,군포시,조회,950,365.0
경기,의왕시,조회,950,365.0
경기,하남시,조회,850,326.0
경기,용인시,조회,950,400.0
경기,파주시,조회,950,350.0
경기,이천시,조회,1050,500.0
경기,안성시,조회,1050,431.0
경기,김포시,조회,950,365.0
경기,화성시,조회,950,375.0
경기,광주시,조회,930,360.0
경기,양주시,조회,950,365.0
경기,포천시,조회,950,365.0
경기,여주시,조회,1050,500.0
경기,연천군,조회,1000,571.0
경기,가평군,조회,1050,403.0
경기,양평군,조회,1050,500.0
강원,춘천시,조회,938,437.0
강원,원주시,조회,938,437.0
강원,강릉시,조회,938,437.0
강원,동해시,조회,938,437.0
강원,태백시,조회,938,437.0
강원,속초시,조회,938,437.0
강원,삼척시,조회,938,437.0
강원,홍천군,조회,938,250.0
강원,횡성군,조회,938,437.0
강원,영월군,조회,938,437.0
강원,평창군,조회,938,437.0
강원,정선군,조회,938,437.0
강원,철원군,조회,938,437.0
강원,화천군,조회,938,437.0
강원,양구군,조회,938,437.0
강원,인제군,조회,938,437.0
강원,고성군,조회,938,
강원,양양군,조회,938,437.0
충북,청주시,조회,1300,563.0
충북,충주시,조회,1300,563.0
충북,제천시,조회,1300,563.0
충북,보은군,조회,1300,
충북,옥천군,조회,1300,563.0
충북,증평군,조회,1300,563.0
충북,영동군,조회,1300,563.0
충북,진천군,조회,1300,563.0
충북,괴산군,조회,1300,563.0
충북,음성군,조회,1300,563.0
충북,단양군,조회,1378,601.0
충남,천안시,조회,1350,600.0
충남,공주시,조회,1350,600.0
충남,보령시,조회,1350,600.0
충남,아산시,조회,1350,600.0
충남,서산시,조회,1350,600.0
충남,논산시,조회,1350,600.0
충남,계룡시,조회,1350,600.0
충남,당진시,조회,1350,600.0
충남,금산군,조회,1350,600.0
충남,부여군,조회,1350,600.0
충남,서천군,조회,1350,600.0
충남,청양군,조회,1350,600.0
충남,홍성군,조회,1350,600.0
충남,예산군,조회,1350,600.0
충남,태안군,조회,1350,600.0
전북,전주시,조회,1350,450.0
전북,군산시,조회,1350,450.0
전북,익산시,조회,1350,
전북,정읍시,조회,1350,450.0
전북,남원시,조회,1350,450.0
전북,김제시,조회,1350,450.0
전북,완주군,조회,1350,450.0
전북,진안군,조회,1350,450.0
전북,무주군,조회,1350,450.0
전북,장수군,조회,1350,450.0
전북,임실군,조회,1350,450.0
전북,순창군,조회,1350,450.0
전북,고창군,조회,1350,450.0
전북,부안군,조회,1350,450.0
전남,목포시,조회,1300,515.0
전남,여수시,조회,1270,488.0
전남,순천시,조회,1300,500.0
전남,나주시,조회,1300,585.0
전남,광양시,조회,1400,535.0
전남,담양군,조회,1400,538.0
전남,곡성군,조회,1300,335.0
전남,구례군,조회,1400,665.0
전남,고흥군,조회,1400,635.0
전남,보성군,조회,1500,250.0
전남,화순군,조회,1400,625.0
전남,장흥군,조회,1400,538.0
전남,강진군,조회,1400,478.0
전남,해남군,조회,1300,500.0
전남,영암군,조회,1500,606.0
전남,무안군,조회,1500,606.0
전남,함평군,조회,1500,335.0
전남,영광군,조회,1400,715.0
전남,장성군,조회,1250,523.0
전남,완도군,조회,1300,
전남,진도군,조회,1400,695.0
전남,신안군,조회,1400,538.0
경북,포항시,조회,1250,480.0
경북,경주시,조회,1250,480.0
경북,김천시,조회,1250,480.0
경북,안동시,조회,1250,480.0
경북,구미시,조회,1250,480.0
경북,영주시,조회,1250,480.0
경북,영천시,조회,1250,480.0
경북,상주시,조회,1250,480.0
경북,문경시,조회,1250,480.0
경북,경산시,조회,1250,480.0
경북,의성군,조회,1250,480.0
경북,청송군,조회,1250,480.0
경북,영양군,조회,1250,480.0
경북,영덕군,조회,1250,480.0
경북,청도군,조회,1250,480.0
경북,고령군,조회,1250,480.0
경북,성주군,조회,1250,480.0
경북,칠곡군,조회,1250,480.0
경북,예천군,조회,1250,480.0
경북,봉화군,조회,1258,480.0
경북,울진군,조회,1250,480.0
경북,울릉군,조회,1750,673.0
경남,창원시,조회,1230,470.0
경남,진주시,조회,1230,470.0
경남,통영시,조회,1230,470.0
경남,사천시,조회,1230,470.0
경남,김해시,조회,1230,470.0
경남,밀양시,조회,1230,470.0
경남,거제시,조회,1230,470.0
경남,양산시,조회,1230,470.0
경남,의령군,조회,1450,550.0
경남,함안군,조회,1230,470.0
경남,창녕군,조회,1230,470.0
경남,고성군,조회,1230,470.0
경남,남해군,조회,1230,470.0
경남,하동군,조회,1230,470.0
경남,산청군,조회,1230,470.0
경남,함양군,조회,1230,470.0
경남,거창군,조회,1790,683.0
경남,합천군,조회,1690,360.0
제주,제주특별자치도,조회,1050,650.0
공단,한국환경공단,조회,650,250.0
